appointment_id,appointment_date,start_time,end_time,customer_id,employee_id,service_id,booking_channel,status,is_completed,is_cancelled,is_no_show,duration_min,price,discount,net_revenue,date_id
A000001,2025-01-02,14:45:00,15:45:00,C0157,E001,S005,Phone/WhatsApp,completed,True,False,False,60,60,0.0,60.0,2025-01-02
A000002,2025-01-02,15:00:00,15:45:00,C0240,E004,S001,Phone/WhatsApp,completed,True,False,False,45,40,4.0,36.0,2025-01-02
A000003,2025-01-02,15:45:00,16:30:00,C0018,E003,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-02
A000004,2025-01-02,10:45:00,11:45:00,C0440,E002,S005,Website,completed,True,False,False,60,60,9.0,51.0,2025-01-02
A000005,2025-01-02,13:30:00,14:45:00,C0339,E001,S003,Website,completed,True,False,False,75,70,0.0,70.0,2025-01-02
A000006,2025-01-02,10:30:00,11:30:00,C0221,E003,S005,Treatwell,completed,True,False,False,60,60,9.0,51.0,2025-01-02
A000007,2025-01-02,15:45:00,17:00:00,C0280,E004,S003,Website,completed,True,False,False,75,70,0.0,70.0,2025-01-02
A000008,2025-01-02,17:30:00,18:15:00,C0204,E004,S008,Website,completed,True,False,False,45,50,0.0,50.0,2025-01-02
A000009,2025-01-02,14:45:00,15:45:00,C0004,E002,S002,Instagram DM,completed,True,False,False,60,60,0.0,60.0,2025-01-02
A000010,2025-01-02,13:00:00,15:15:00,C0404,E003,S004,Treatwell,completed,True,False,False,135,110,0.0,110.0,2025-01-02
A000011,2025-01-02,16:45:00,18:15:00,C0051,E003,S007,Website,no_show,False,False,True,90,90,0.0,45.0,2025-01-02
A000012,2025-01-03,15:30:00,16:45:00,C0217,E003,S006,Treatwell,completed,True,False,False,75,80,8.0,72.0,2025-01-03
A000013,2025-01-03,14:00:00,15:15:00,C0241,E002,S003,Phone/WhatsApp,completed,True,False,False,75,70,0.0,70.0,2025-01-03
A000014,2025-01-03,16:30:00,17:45:00,C0017,E001,S003,Treatwell,completed,True,False,False,75,70,0.0,70.0,2025-01-03
A000015,2025-01-03,10:15:00,11:45:00,C0122,E001,S007,Phone/WhatsApp,completed,True,False,False,90,90,0.0,90.0,2025-01-03
A000016,2025-01-03,17:45:00,19:00:00,C0303,E004,S003,Instagram DM,completed,True,False,False,75,70,0.0,70.0,2025-01-03
A000017,2025-01-03,14:00:00,15:30:00,C0102,E001,S007,Website,completed,True,False,False,90,90,0.0,90.0,2025-01-03
A000018,2025-01-03,15:30:00,16:15:00,C0340,E001,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-03
A000019,2025-01-03,17:30:00,18:30:00,C0038,E003,S002,Phone/WhatsApp,completed,True,False,False,60,60,0.0,60.0,2025-01-03
A000020,2025-01-03,11:45:00,12:30:00,C0307,E001,S001,Phone/WhatsApp,completed,True,False,False,45,40,0.0,40.0,2025-01-03
A000021,2025-01-03,10:45:00,12:00:00,C0324,E002,S003,Phone/WhatsApp,completed,True,False,False,75,70,0.0,70.0,2025-01-03
A000022,2025-01-03,16:30:00,17:15:00,C0380,E002,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-03
A000023,2025-01-03,12:00:00,14:00:00,C0354,E002,S004,Walk-in,completed,True,False,False,120,100,0.0,100.0,2025-01-03
A000024,2025-01-03,16:15:00,17:15:00,C0355,E004,S002,Treatwell,completed,True,False,False,60,60,0.0,60.0,2025-01-03
A000025,2025-01-03,11:30:00,12:45:00,C0154,E004,S003,Treatwell,completed,True,False,False,75,70,10.5,59.5,2025-01-03
A000026,2025-01-04,18:15:00,19:00:00,C0066,E002,S001,Phone/WhatsApp,completed,True,False,False,45,40,0.0,40.0,2025-01-04
A000027,2025-01-04,16:45:00,18:00:00,C0280,E001,S003,Treatwell,cancelled,False,True,False,75,70,0.0,0.0,2025-01-04
A000028,2025-01-04,10:00:00,11:15:00,C0050,E001,S003,Walk-in,completed,True,False,False,75,70,0.0,70.0,2025-01-04
A000029,2025-01-04,14:30:00,15:15:00,C0286,E003,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-04
A000030,2025-01-04,14:15:00,16:15:00,C0154,E001,S004,Phone/WhatsApp,completed,True,False,False,120,100,0.0,100.0,2025-01-04
A000031,2025-01-04,11:30:00,13:45:00,C0304,E003,S004,Walk-in,cancelled,False,True,False,135,115,0.0,0.0,2025-01-04
A000032,2025-01-04,12:45:00,14:00:00,C0209,E002,S003,Website,completed,True,False,False,75,70,0.0,70.0,2025-01-04
A000033,2025-01-04,12:00:00,13:30:00,C0407,E001,S003,Treatwell,completed,True,False,False,90,80,0.0,80.0,2025-01-04
A000034,2025-01-04,16:00:00,16:45:00,C0153,E003,S008,Walk-in,completed,True,False,False,45,50,0.0,50.0,2025-01-04
A000035,2025-01-04,12:00:00,13:15:00,C0211,E004,S006,Website,completed,True,False,False,75,80,12.0,68.0,2025-01-04
A000036,2025-01-04,11:15:00,12:30:00,C0116,E002,S003,Website,completed,True,False,False,75,70,0.0,70.0,2025-01-04
A000037,2025-01-06,13:00:00,13:45:00,C0340,E003,S001,Treatwell,completed,True,False,False,45,40,0.0,40.0,2025-01-06
A000038,2025-01-06,10:00:00,11:30:00,C0257,E001,S003,Walk-in,cancelled,False,True,False,90,80,0.0,0.0,2025-01-06
A000039,2025-01-06,14:15:00,15:15:00,C0352,E001,S002,Treatwell,completed,True,False,False,60,60,0.0,60.0,2025-01-06
A000040,2025-01-06,17:00:00,18:15:00,C0425,E004,S003,Instagram DM,completed,True,False,False,75,70,10.5,59.5,2025-01-06
A000041,2025-01-06,10:45:00,11:30:00,C0459,E003,S001,Phone/WhatsApp,completed,True,False,False,45,40,0.0,40.0,2025-01-06
A000042,2025-01-06,12:15:00,13:30:00,C0297,E001,S003,Website,completed,True,False,False,75,70,0.0,70.0,2025-01-06
A000043,2025-01-06,12:15:00,14:15:00,C0248,E002,S004,Treatwell,completed,True,False,False,120,100,15.0,85.0,2025-01-06
A000044,2025-01-06,17:45:00,19:00:00,C0028,E002,S006,Treatwell,completed,True,False,False,75,80,0.0,80.0,2025-01-06
A000045,2025-01-06,10:00:00,10:45:00,C0296,E004,S008,Treatwell,completed,True,False,False,45,50,0.0,50.0,2025-01-06
A000046,2025-01-06,16:45:00,17:30:00,C0013,E003,S001,Instagram DM,completed,True,False,False,45,40,6.0,34.0,2025-01-06
A000047,2025-01-06,10:45:00,11:30:00,C0445,E002,S001,Instagram DM,completed,True,False,False,45,40,0.0,40.0,2025-01-06
A000048,2025-01-06,12:30:00,13:15:00,C0342,E004,S008,Treatwell,completed,True,False,False,45,50,0.0,50.0,2025-01-06
A000049,2025-01-06,17:30:00,18:30:00,C0005,E003,S005,Treatwell,completed,True,False,False,60,60,0.0,60.0,2025-01-06
A000050,2025-01-06,16:45:00,18:00:00,C0380,E001,S003,Phone/WhatsApp,completed,True,False,False,75,70,0.0,70.0,2025-01-06
A000051,2025-01-06,14:15:00,15:45:00,C0329,E004,S007,Treatwell,completed,True,False,False,90,90,9.0,81.0,2025-01-06
A000052,2025-01-07,12:30:00,13:30:00,C0378,E001,S001,Phone/WhatsApp,completed,True,False,False,60,55,0.0,55.0,2025-01-07
A000053,2025-01-07,14:45:00,16:00:00,C0363,E001,S006,Phone/WhatsApp,completed,True,False,False,75,80,0.0,80.0,2025-01-07
A000054,2025-01-07,17:00:00,18:30:00,C0320,E002,S007,Treatwell,completed,True,False,False,90,90,0.0,90.0,2025-01-07
A000055,2025-01-07,10:00:00,11:15:00,C0378,E002,S003,Website,no_show,False,False,True,75,70,0.0,35.0,2025-01-07
A000056,2025-01-07,12:45:00,14:00:00,C0110,E003,S003,Phone/WhatsApp,cancelled,False,True,False,75,70,0.0,0.0,2025-01-07
A000057,2025-01-07,16:30:00,17:15:00,C0297,E004,S001,Treatwell,completed,True,False,False,45,40,4.0,36.0,2025-01-07
A000058,2025-01-07,16:30:00,18:00:00,C0459,E001,S007,Phone/WhatsApp,completed,True,False,False,90,90,0.0,90.0,2025-01-07
A000059,2025-01-07,12:15:00,13:30:00,C0101,E002,S003,Website,completed,True,False,False,75,70,0.0,70.0,2025-01-07
A000060,2025-01-07,10:15:00,11:15:00,C0222,E001,S005,Walk-in,completed,True,False,False,60,60,9.0,51.0,2025-01-07
A000061,2025-01-07,14:00:00,15:30:00,C0418,E002,S007,Phone/WhatsApp,completed,True,False,False,90,90,0.0,90.0,2025-01-07
A000062,2025-01-07,11:45:00,13:15:00,C0104,E004,S007,Treatwell,completed,True,False,False,90,90,0.0,90.0,2025-01-07
A000063,2025-01-07,18:15:00,19:00:00,C0360,E001,S001,Instagram DM,completed,True,False,False,45,40,6.0,34.0,2025-01-07
A000064,2025-01-07,17:30:00,19:00:00,C0140,E003,S003,Treatwell,completed,True,False,False,90,85,8.5,76.5,2025-01-07
A000065,2025-01-07,17:15:00,18:15:00,C0075,E004,S005,Phone/WhatsApp,completed,True,False,False,60,60,0.0,60.0,2025-01-07
A000066,2025-01-08,10:45:00,12:00:00,C0147,E001,S003,Treatwell,completed,True,False,False,75,70,10.5,59.5,2025-01-08
A000067,2025-01-08,17:30:00,18:45:00,C0292,E001,S003,Instagram DM,completed,True,False,False,75,70,7.0,63.0,2025-01-08
A000068,2025-01-08,10:00:00,11:15:00,C0370,E003,S003,Phone/WhatsApp,completed,True,False,False,75,70,0.0,70.0,2025-01-08
A000069,2025-01-08,16:00:00,17:15:00,C0321,E001,S003,Treatwell,completed,True,False,False,75,70,0.0,70.0,2025-01-08
A000070,2025-01-08,13:45:00,14:45:00,C0036,E001,S005,Website,completed,True,False,False,60,60,0.0,60.0,2025-01-08
A000071,2025-01-08,15:45:00,16:30:00,C0089,E004,S008,Treatwell,completed,True,False,False,45,50,5.0,45.0,2025-01-08
A000072,2025-01-08,11:30:00,13:00:00,C0068,E003,S007,Instagram DM,completed,True,False,False,90,90,0.0,90.0,2025-01-08
A000073,2025-01-08,12:00:00,13:15:00,C0179,E001,S003,Instagram DM,completed,True,False,False,75,70,0.0,70.0,2025-01-08
A000074,2025-01-08,10:00:00,10:45:00,C0271,E001,S001,Phone/WhatsApp,completed,True,False,False,45,40,4.0,36.0,2025-01-08
A000075,2025-01-08,15:15:00,16:00:00,C0401,E001,S001,Website,completed,True,False,False,45,40,0.0,40.0,2025-01-08
A000076,2025-01-09,11:30:00,12:30:00,C0271,E002,S002,Phone/WhatsApp,completed,True,False,False,60,60,0.0,60.0,2025-01-09
A000077,2025-01-09,14:45:00,16:45:00,C0285,E003,S004,Walk-in,completed,True,False,False,120,100,0.0,100.0,2025-01-09
A000078,2025-01-09,10:00:00,12:00:00,C0123,E003,S004,Website,completed,True,False,False,120,100,0.0,100.0,2025-01-09
A000079,2025-01-09,13:30:00,14:45:00,C0037,E002,S006,Phone/WhatsApp,completed,True,False,False,75,80,0.0,80.0,2025-01-09
A000080,2025-01-09,17:30:00,19:00:00,C0201,E004,S007,Phone/WhatsApp,completed,True,False,False,90,90,0.0,90.0,2025-01-09
A000081,2025-01-09,11:30:00,12:45:00,C0288,E001,S003,Phone/WhatsApp,completed,True,False,False,75,70,0.0,70.0,2025-01-09
